\xef\xbb\xbfLaporan Mutasi Rekening
No. Rekening;1234567890
Periode;01/08/2026 - 31/08/2026

Tanggal;Keterangan;Debet/Kredit;Nominal;Saldo
01/08/2026;SALDO AWAL;;;5.000.000,00
02/08/2026;TRSF GAJI PT MAJU JAYA;CR;8.500.000,00;13.500.000,00
03/08/2026;QRIS KOPI KENANGAN;DB;32.000,00;13.468.000,00
05/08/2026;AUTODEBET NETFLIX;DB;186.000,00;13.282.000,00
05/08/2026;AUTODEBET NETFLIX;DB;186.000,00;13.096.000,00
09/08/2026;TRSF KE BUDI - "patungan; makan";DB;150.000,00;12.946.000,00
12/08/2026;BIAYA ADM;DB;15.000,00;12.931.000,00
12/08/2026;TOKOPEDIA #INV/2026/08/12;DB;1.249.999,50;11.681.000,50
13/08/2026;REFUND TOKOPEDIA;CR;1.249.999,50;12.931.000,00
31/08/2026;BUNGA;CR;2.150,75;12.933.150,75
31/08/2026;PAJAK BUNGA;DB;430,15;12.932.720,60
;;;;
Saldo Akhir;;;;12.932.720,60
